retweetCount,favoriteCount,text,time
5365,41042,Thank you China! I'm deeply moved by your passion for brilliance. See you next time. 再见 ⚽👋🏼🇨🇳 #Playfree #CR7LIVE,2017-07-24T17:02:18.000Z
3810,32541,"China's stars of tomorrow, you've earned this gift. Keep working hard, but remember to play your way. Remember #playfree #CR7LIVE #Mercurial",2017-07-24T14:04:11.000Z
2014,18520,"Hitting the gym before day 3 in China! Checkout my new workouts in the #NTC app. Try and keep up! 😉💪🏼 #CR7LIVE
http://gonike.me/NTC_CR7 ",2017-07-24T11:06:24.000Z
4344,32638,Congratulations to the Nike League champions. The future of  football is yours. Work hard and #Playfree #CR7LIVE @nikefootball,2017-07-23T18:57:48.000Z
5078,40808,"你好, China! Day 2. Taking a journey through my #Mercurial past at the Beijing house of brilliance. 🇨🇳⚽",2017-07-23T14:30:11.000Z
6333,57107,Thank you Shanghai! More tomorrow... #CR7LIVE,2017-07-22T20:01:13.000Z
7718,51830,First stop. Seems a few people got here before me. 😜#CR7LIVE,2017-07-22T15:42:18.000Z
7735,56316,Hello China! I'm here for 3 days. Ready for brilliance.   👊  #CR7LIVE #Playfree,2017-07-22T10:03:16.000Z
6038,47517,Spent great time in Singapore. Look forward to meet with Peter Lim again soon.,2017-07-21T17:23:51.000Z
5906,56013,TEAM!💪🔝👌 #CR7live,2017-07-20T16:52:33.000Z
9554,70664,✈️👌🔝 #nike #CR7live,2017-07-20T08:38:19.000Z
3865,35428,Thrilled to be part of the family @tatelrestaurant @ZelaRestaurants. Best team @enriqueiglesias @paugasol @RafaelNadal <3,2017-07-18T15:00:11.000Z
4041,40518,Talking business in my favourite  restaurant #TATELIbiza! Big news coming soon!!,2017-07-17T20:21:59.000Z
11064,50542,I'm ✈️✈️ to watch the best of 🇨🇳⚽️. Heard that football is booming there. Can't wait to see the brilliance. 👊@nikefootball,2017-07-15T17:46:30.000Z
5536,49082,The feeling of waking up like this @PestanaCR7,2017-07-14T18:02:54.000Z
6287,44679,"I’m always looking for ways to be healthier, faster, and stronger. What are you doing to better yourself? #TrueToYourStory #ad",2017-07-13T17:34:46.000Z
29409,169326,Big family with love ❤❤❤❤❤❤❤❤❤❤,2017-07-12T15:54:31.000Z
23478,158998,Lovely moments😍,2017-07-10T08:37:27.000Z
4485,46128,Shoot like a pro with nubia Z17. @nubiasmartphone,2017-07-09T17:24:11.000Z
4515,37415,Not slowing down. Get the Air Zoom Mariah Flyknit Racer now at http://nike.com/sportswear . 💨 @nikesportswear #teamnike,2017-07-08T16:56:46.000Z
5883,40505,Being an athlete is a lifestyle. Train 👍🏼practice healthy habits👍🏼fuel your body with good nutrition👍🏼 #TrueToYourStory #ad,2017-07-06T17:35:24.000Z
60021,249752,Blessed,2017-07-04T15:47:51.000Z
13473,104237,Good morning👌👀😎🏡,2017-07-04T09:55:00.000Z
11857,77142,"Todos juntos, dentro e fora de campo. Vamos malta!💪🇵🇹",2017-07-01T22:22:24.000Z
170292,593470,So happy to be able to hold the two new loves of my life 🙏❤,2017-06-29T17:09:37.000Z
12352,77057,ready for tomorrow🇵🇹👌👍,2017-06-27T10:15:46.000Z
4243,35733,Recover stronger with a combination of carbs and protein to aid in muscle repair. #TrueToYourStory #sponsored,2017-06-26T18:10:51.000Z
4535,47017,Gaming experience of nubia Z17 is amazing.,2017-06-26T11:40:21.000Z
9533,70276,Focused👌🇵🇹,2017-06-26T09:59:10.000Z
14821,93137,😃🇵🇹,2017-06-25T08:56:41.000Z
16384,82089,Semi final well done team 🇵🇹👍👌,2017-06-24T18:32:48.000Z
12883,80492,👀ready 👍,2017-06-23T15:11:58.000Z
16340,76751,MUITO BEM EQUIPA 🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹,2017-06-21T18:42:13.000Z
15001,46037,Everyone please watch this video from @SavetheChildren for #WorldRefugeeDay,2017-06-19T15:34:03.000Z
9850,65092,Let's go to Moscow 👍,2017-06-19T12:43:25.000Z
16691,77592,"New boots. Same goal. 🏆🔝🇵🇹
#Mercurial #Portugal #CR7 #Nike #Football #Soccer",2017-06-17T17:39:56.000Z
16905,97492,🇵🇹,2017-06-16T22:04:25.000Z
3841,27086,Excited with my second reveal with #Egyptian_Steel in partnership with @AhmedAbuHashima. State of the art steel plants building the future 👍,2017-06-15T17:40:52.000Z
19469,107417,"Proud to represent the National Team
🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😘",2017-06-14T13:06:26.000Z
8228,46855,Bons momentos na companhia de verdadeiros campeões!#terradossonhos @terradossonhos,2017-06-14T08:22:41.000Z
7045,41319,Excited…tomorrow is #WorldBloodDonorDay! Be 'also' the one☝️ ! #BETHE1Donor #WorldBloodDonorDay,2017-06-13T18:07:30.000Z
15284,86785,Just relax and enjoy the view🏡👌,2017-06-11T11:03:47.000Z
5028,29481,Your body is like a race car 🏎 !! You need to fuel it right to keep performing at your best! #TrueToYourStory #sponsored,2017-06-08T17:29:28.000Z
17494,87723,Happy to be back home❤️🙏,2017-06-07T11:41:19.000Z
21785,97476,Gracias aficionados 🙏,2017-06-06T14:16:39.000Z
35529,73880,#FIFA18. It’s My Time. http://x.ea.com/31888  @EASPORTSFIFA,2017-06-05T15:15:03.000Z
40616,137833,Simmmmmmm👌,2017-06-05T09:09:45.000Z
46817,160771,#JustDoIt,2017-06-04T16:04:50.000Z
58953,174176,4 times in the row 👌,2017-06-04T00:53:32.000Z
70078,162223,Champions. ⚽️⚽️⚽️⚽️😘❤️,2017-06-03T23:52:41.000Z
7004,32254,Pick your skill level. Master it. Do it again. 🔝⚽🔝,2017-06-01T17:58:47.000Z
13772,58831,2days,2017-06-01T14:49:40.000Z
4983,36469,CR7 Denim👌🏼,2017-05-31T19:05:18.000Z
15989,75884,Drinking my tea and reading my book👍👌😘,2017-05-30T16:15:06.000Z
5542,35458,"Maximize your time in the gym. Work smart, focus on your goals and prepare for any challenge that comes your way #TrueToYourStory #sponsored",2017-05-29T17:03:06.000Z
8906,31372,Glad to introduce the 1st reveal of my campaign with @egyptian_steel in partnership with @AhmedAbuHashima. Stay tuned for the 2nd reveal!,2017-05-27T17:39:40.000Z
4555,26802,"Sprinting 👟, juggling and balancing techniques ✔ Trading skills
with @Herbalife. Can you ⚽ like me? #TrueToYourStory #ad",2017-05-24T17:00:06.000Z
2083,14436,"Today was announced the new @ altice brand... like it 👍 We keep together"" #Altice  http://altice.net ",2017-05-23T16:57:29.000Z
52022,166624,,2017-05-23T09:30:58.000Z
54168,119046,Champions 🇵🇹🇪🇸simmmmmmmmmm,2017-05-21T21:50:05.000Z
2953,21467,Throwback to my CR  Legacy fragrance shoot! 📸Check out more pictures here http://www.cristianoronaldofragrances.com  #CRFragrances,2017-05-19T17:23:42.000Z
3582,25068,#TBT to the ﬁrst time I took my @CR7limitless jeans for a spin. 🚴🏼👖http://CR7.com ,2017-05-18T19:47:08.000Z
12458,67897,😁,2017-05-18T11:10:52.000Z
17579,56859,Well done boys👌👍,2017-05-17T22:24:52.000Z
3239,22476,We already had 250 000 visitors in my @CR7Museu !! Thank you all!👏👌,2017-05-16T17:12:06.000Z
2453,20887,Thumbs up for nubia Thailand Flagship Store grand opening and good luck on the Mobile Expo 2017. @nubiasmartphone,2017-05-15T17:13:27.000Z
11926,64839,👍,2017-05-15T10:10:25.000Z
17944,73057,⚽️👌,2017-05-14T21:41:32.000Z
10883,57869,👌⚽️⚽️⚽️⚽️,2017-05-13T12:19:39.000Z
9245,68623,Good night ❤️❤️,2017-05-11T20:34:13.000Z
31081,76162,VAMOS EQUIPO👌👍,2017-05-10T21:07:26.000Z
11773,61928,👌⚽️👍,2017-05-08T17:07:38.000Z
8715,57602,Selfie time☀️👌👍🙏,2017-05-08T12:02:24.000Z
11805,64861,"Love you❤️
#happymothersday",2017-05-07T15:32:37.000Z
7159,43117,A new project is coming soon... stay tuned!,2017-05-05T16:54:28.000Z
3860,19276,"I’m fast, but it would take me three matches to run this far. 😅 #BREAKING2 #TEAMNIKE",2017-05-05T07:37:25.000Z
14601,70767,👍,2017-05-03T18:17:43.000Z
35256,92329,Together💪💪💪,2017-05-02T23:21:58.000Z
13279,67211,UCL👌👍,2017-05-01T16:44:10.000Z
18890,64114,Vamossssssssss👍well done boys👌👌👌👌👌👌,2017-04-29T16:38:53.000Z
2933,23902,Feeling the love from around the world on CR7 Denim. It means a lot! Remember to sign up at http://CR7.com  and follow @CR7limitless,2017-04-27T17:00:52.000Z
